Observation Number,Date,log_totVol,log_avgPrice,Series Forecast,Series Residuals,Forecast Standard Errors,Forecast Lower Confidence Limit,Forecast Upper Confidence Limit,Smoothed Series Values,Variance of the Smoothed Series,Smoothed Irregular Values,Variance of the Smoothed Irregular,Level Forecast Values,Variance of the Filtered Level,Smoothed Level Values,Variance of the Smoothed Level,Filtered Season,Variance of the Filtered Season,Smoothed Season,Variance of the Smoothed Season,Smoothed Trend Plus Regression,Variance of Smoothed Trend Plus Regression,Sum of All Smoothed Components Except the Irregular Component,Variance of Sum of All Smoothed Components Except the Irregular Component
24,2015-06-14,12.893350435,0.547852519,,,,,,12.893350435,0,0.0034084347,0.0029459923,,,13.667303618,0.0179972753,,,0.0925212697,0.0043696682,12.79742073,0.0035398971,12.889942,0.0029459923
25,2015-06-21,12.879840428,0.5546867165,,,,,,12.879840428,0,-0.025417827,0.0029483584,,,13.668816905,0.0180186437,,,0.1171756089,0.0043830986,12.788082646,0.0035666008,12.905258255,0.0029483584
26,2015-06-28,12.930666166,0.5303546158,,,,,,12.930666166,0,0.0343012886,0.0029403903,,,13.677733658,0.0177371195,,,0.0607308511,0.004419022,12.835634027,0.003549253,12.896364878,0.0029403903
27,2015-07-05,12.898349447,0.5549537748,,,,,,12.898349447,0,0.0173119507,0.0029337968,,,13.676659454,0.0176926075,,,0.0855363384,0.0044396389,12.795501158,0.0036183481,12.881037497,0.0029337968
28,2015-07-12,12.795330977,0.54986743,,,,,,12.795330977,0,-0.046826957,0.0029291571,,,13.670542787,0.0175025464,,,0.0446973191,0.004483459,12.797460614,0.0036342412,12.842157934,0.0029291571
29,2015-07-19,12.923119295,0.5160214046,,,,,,12.923119295,0,-0.004666387,0.0029608027,,,13.678065437,0.0173198985,,,0.0690615341,0.0044900038,12.858724148,0.0036064115,12.927785682,0.0029608027
30,2015-07-26,12.805583727,0.5450248056,,,,,,12.805583727,0,-0.046656053,0.0029416344,,,13.686947268,0.0175250079,,,0.0306855418,0.0045737743,12.821554238,0.0036688428,12.85223978,0.0029416344
31,2015-08-02,12.769723169,0.6041888778,,,,,,12.769723169,0,0.0364790394,0.0030065352,,,13.709418637,0.0179789381,,,-0.016840476,0.0045899159,12.750084605,0.0039750589,12.733244129,0.0030065352
32,2015-08-09,12.839245407,0.5839031649,,,,,,12.839245407,0,0.0265481099,0.0029451407,,,13.721264733,0.0178256909,,,0.018556842,0.0046393239,12.794140455,0.003882971,12.812697297,0.0029451407
33,2015-08-16,12.898696889,0.5839031649,,,,,,12.898696889,0,0.0372478009,0.0029309747,,,13.725378145,0.0174017523,,,0.0631952217,0.0047862733,12.798253867,0.0039720159,12.861449088,0.0029309747
34,2015-08-23,12.928055309,0.5705853025,,,,,,12.928055309,0,0.0168022757,0.0029345521,,,13.718642366,0.0168978581,,,0.0985887778,0.0049152345,12.812664255,0.0039822068,12.911253033,0.0029345521
35,2015-08-30,12.961826341,0.537173134,,,,,,12.961826341,0,0.043528484,0.0029983211,,,13.707012579,0.016553108,,,0.0642113866,0.004957122,12.854086471,0.0038691272,12.918297857,0.0029983211
36,2015-09-06,12.820948237,0.5873989929,,,,,,12.820948237,0,-0.019621782,0.0029317786,,,13.682704223,0.0167533093,,,0.090540766,0.0050584272,12.750029253,0.0042077149,12.840570019,0.0029317786
37,2015-09-13,12.740770633,0.6124162516,,,,,,12.740770633,0,-0.042225098,0.0029767373,,,13.664111116,0.0168952481,,,0.0912821107,0.00508493,12.691713621,0.0044614486,12.782995731,0.0029767373
38,2015-09-20,12.675251247,0.6017711124,,,,,,12.675251247,0,-0.024604616,0.0029481483,,,13.657816939,0.0165978235,,,-0.002465984,0.0052952618,12.702321847,0.0044199738,12.699855863,0.0029481483
39,2015-09-27,12.654381958,0.6020258895,,,,,,12.654381958,0,-0.028675423,0.0029791051,,,13.658689364,0.016195869,,,-0.019732355,0.0054569938,12.702789736,0.0045084995,12.683057381,0.0029791051
40,2015-10-04,12.750975615,0.5733417524,,,,,,12.750975615,0,-0.005734547,0.003103008,,,13.667914097,0.0157366659,,,-0.000849119,0.0056201193,12.757559281,0.0042928411,12.756710162,0.003103008
41,2015-10-11,12.675328151,0.5280256881,,,,,,12.675328151,0,-0.039113554,0.0036442413,,,13.678809135,0.0157018506,,,-0.125965681,0.0060152654,12.840407386,0.0040274277,12.714441705,0.0036442413
42,2015-10-18,12.659830556,0.5502699255,,,,,,12.659830556,0,0.0057573474,0.0036937902,,,13.701096802,0.0155473738,,,-0.173302336,0.006074016,12.827375545,0.004249739,12.654073209,0.0036937902
43,2015-10-25,12.76454355,0.5147713176,,,,,,12.76454355,0,0.079617373,0.0036446893,,,13.721707523,0.0149381504,,,-0.219424951,0.0061204478,12.904351127,0.0041386573,12.684926177,0.0036446893
44,2015-11-01,12.946070897,0.4718913812,,,,,,12.946070897,0,0.0466237848,0.0038799984,,,13.719128042,0.0142270225,,,-0.070409506,0.006510644,12.969856618,0.0040527545,12.899447112,0.0038799984
45,2015-11-08,12.827697804,0.4963964406,,,,,,12.827697804,0,-0.04795395,0.0036434963,,,13.702968423,0.0144297337,,,-0.039135993,0.0062134905,12.914787747,0.0041527974,12.875651754,0.0036434963
46,2015-11-15,12.665661636,0.5153271048,,,,,,12.665661636,0,-0.069469385,0.0036435409,,,13.700776381,0.0147159442,,,-0.147406482,0.0063063245,12.882537504,0.0042361503,12.735131022,0.0036435409
47,2015-11-22,12.862147226,0.4907178336,,,,,,12.862147226,0,0.029690808,0.0036443601,,,13.718818729,0.0150901355,,,-0.107198154,0.0060899367,12.939654572,0.004085098,12.832456418,0.0036443601
48,2015-11-29,12.662043239,0.4975283026,,,,,,12.662043239,0,-0.019726545,0.0036435223,,,13.728213017,0.015350015,,,-0.25646538,0.0061271239,12.938235165,0.0040789837,12.681769784,0.0036435223
49,2015-12-06,12.675199171,0.4814207632,,,,,,12.675199171,0,-0.063619361,0.0036413106,,,13.743353068,0.015699809,,,-0.240132313,0.0060414347,12.978950845,0.0040152896,12.738818532,0.0036413106
50,2015-12-13,12.959064379,0.4653416161,,,,,,12.959064379,0,0.0744711527,0.0036472148,,,13.77702357,0.0160699391,,,-0.153558668,0.0060517471,13.038151894,0.0040006824,12.884593226,0.0036472148
51,2015-12-20,12.742801222,0.4965379934,,,,,,12.742801222,0,0.0244439507,0.0036973632,,,13.789002813,0.0162774234,,,-0.282240107,0.0060012351,13.000597378,0.0039485597,12.718357272,0.0036973632
52,2015-12-27,12.762861355,0.4597770975,,,,,,12.762861355,0,-0.064203468,0.0036461689,,,13.793862251,0.015992573,,,-0.236761122,0.0059793257,13.063825945,0.0039252504,12.827064824,0.0036461689
53,2016-01-03,13.010859519,0.3851041855,,,,,,13.010859519,0,0.0254388705,0.003097372,,,13.817422273,0.0155587749,,,-0.220531331,0.0051372,13.20595198,0.0042645087,12.985420648,0.003097372
54,2016-01-10,13.191843991,0.3816171,13.172703998,0.0191399937,0.2228713184,12.73588424,13.609523755,13.191843991,0,0.0323188495,0.0030073211,13.897926896,3.2955943401,13.8335727,0.0155119925,0.0197077184,0.0593140073,-0.068114076,0.0050902667,13.227639217,0.0042929015,13.159525142,0.0030073211
55,2016-01-17,12.969826159,0.4305735919,13.143590902,-0.173764744,0.1519186477,12.845835824,13.44134598,12.969826159,0,-0.084994819,0.0029474736,14.01119864,1.5576027181,13.840309595,0.0158044876,0.0721118065,0.0340784129,-0.10182178,0.0048929584,13.156642757,0.0039759793,13.054820978,0.0029474736
56,2016-01-24,13.088309428,0.4054651081,12.915890814,0.1724186142,0.1675572086,12.58748472,13.244296908,13.088309428,0,0.0718795049,0.0029357562,14.41005694,1.4376847391,13.871802984,0.0161645734,-0.222729479,0.0191765039,-0.211573596,0.0050611728,13.228003519,0.0041886859,13.016429923,0.0029357562
57,2016-01-31,13.109561036,0.4208500269,12.855260463,0.2543005735,0.2359009507,12.392903095,13.31761783,13.109561036,0,0.0112956799,0.0029430146,15.109579521,0.9772403994,13.882359986,0.0165777832,-0.341402202,0.0885975905,-0.115866915,0.005122828,13.214132271,0.0041106401,13.098265356,0.0029430146
58,2016-02-07,13.101217675,0.4257236278,13.094778483,0.0064391912,0.1412662752,12.817901672,13.371655295,13.101217675,0,0.0045356006,0.002941589,14.283296987,0.3914042219,13.889626887,0.0167622873,-0.041668693,0.0225637052,-0.116978771,0.0050723853,13.213660845,0.0040762427,13.096682074,0.002941589
59,2016-02-14,13.238241738,0.4216130945,13.012889898,0.2253518401,0.1444103445,12.729850824,13.295928972,13.238241738,0,0.1210134604,0.0029305265,14.281038255,0.3906314309,13.895572701,0.0167171487,-0.135968555,0.0152941129,-0.108905107,0.0048972114,13.226133384,0.0040752695,13.117228278,0.0029305265
60,2016-02-21,13.058007688,0.4460266036,13.096838795,-0.038831107,0.140882537,12.820714096,13.372963493,13.058007688,0,-0.151323924,0.0029422959,14.590300757,0.3530380109,13.86627085,0.0167420725,-0.073354463,0.0165498179,0.0512639658,0.0048394922,13.158067645,0.0038806519,13.209331611,0.0029422959
61,2016-02-28,13.214684969,0.4572776475,13.147803643,0.0668813258,0.1491384588,12.855497635,13.440109651,13.214684969,0,0.0096311606,0.0030269482,14.600236165,0.3534213917,13.881045212,0.0165282735,0.0239104118,0.0202820619,0.0500762631,0.0049085282,13.154977545,0.0037753733,13.205053808,0.0030269482
62,2016-03-06,13.407234844,0.4141098054,13.358298316,0.0489365282,0.1447509301,13.074591706,13.642004925,13.407234844,0,0.0251830633,0.0029676022,14.525802727,0.3275551308,13.893014299,0.0156776851,0.0910879446,0.015766211,0.146563039,0.004977159,13.235488742,0.0038972576,13.382051781,0.0029676022
63,2016-03-13,13.413919058,0.3545797272,13.398392594,0.015526464,0.1774064714,13.050682299,13.746102888,13.413919058,0,0.0388423553,0.0029919504,14.589962618,0.2932211834,13.897648301,0.0144770038,-0.078342803,0.0135525657,0.040431813,0.0047229234,13.334644889,0.0041830083,13.375076702,0.0029919504
64,2016-03-20,13.433667055,0.3294710412,13.570456848,-0.136789793,0.1557183887,13.265254415,13.875659282,13.433667055,0,-0.002768102,0.0030293855,14.621617571,0.1640830129,13.890968665,0.0137997509,0.0025192974,0.0137840019,0.0686022095,0.0047113116,13.367832947,0.0042831716,13.436435157,0.0030293855
